12,9,
13,33,
14,129,
15,551,
16,2145,
17,7357,
18,22360,
19,60147,
20,144497,
21,301635,
22,552937,
23,877756,
24,1204169,
25,1408761,
26,1389434,
27,1130816,
28,738475,
29,374297,
30,137062,
31,32326,
32,3712,
